Store No,Store Name,Status,POS,Updated,Rate,Open Date
783000,新店,未全部更新,27,0,0,
830100,板橋國光,未全部更新,4,0,0,
830200,中和景新,未全部更新,4,0,0,
830300,淡水淡大,未全部更新,10,0,0,
830700,蘆洲重陽,未全部更新,9,0,0,
830900,新莊公園,未全部更新,4,0,0,
831100,蘆洲九芎,未全部更新,4,0,0,
831400,鶯歌建國,未全部更新,4,0,0,
831500,林口竹林,未全部更新,4,0,0,
831800,板橋長江,未全部更新,5,0,0,
831900,樹林中山,未全部更新,4,0,0,
832000,蘆洲忠孝,未全部更新,3,0,0,
832100,新莊建國,未全部更新,3,0,0,
832200,新莊幸福,未全部更新,6,0,0,
840100,龍潭北龍,未全部更新,11,0,0,
840200,桃園國際,未全部更新,10,0,0,
840300,龜山迴龍,未全部更新,4,0,0,
840500,新屋中山,未全部更新,5,0,0,
840600,龜山自強,未全部更新,7,0,0,
840700,中壢環中,未全部更新,11,0,0,
840900,中壢長春,未全部更新,7,0,0,
841000,中壢中山,未全部更新,5,0,0,
841100,桃園大有,未全部更新,7,0,0,
841200,桃園桃鶯,未全部更新,9,0,0,
841300,桃園三民,未全部更新,7,0,0,
841400,桃園莊敬,未全部更新,2,0,0,
841900,大溪文化,未全部更新,7,0,0,
842000,平鎮和平,未全部更新,6,0,0,
842100,八德福國北,未全部更新,9,0,0,
842200,大溪中正,未全部更新,6,0,0,
842500,中壢中原,未全部更新,3,0,0,
842600,桃園武陵,未全部更新,3,0,0,
842700,八德介壽,未全部更新,7,0,0,
842800,蘆竹忠孝,未全部更新,5,0,0,
842900,楊梅中山,未全部更新,5,0,0,
843000,桃園中正,未全部更新,3,0,0,
850100,新竹中正,未全部更新,3,0,0,
870000,苗栗中正,未全部更新,7,0,0,
870100,公館大同,未全部更新,5,0,0,
870300,苗栗縣府,未全部更新,5,0,0,
096000,台中明新,未全部更新,8,2,25,
099900,大里甲堤,未全部更新,8,2,25,
118800,彰化中興,未全部更新,8,2,25,
101200,鹿谷鹿彰,未全部更新,7,2,28,
063100,新豐文昌,未全部更新,6,2,33,
063300,關西中山東,未全部更新,6,2,33,
124600,二崙中正,未全部更新,6,2,33,
